Full Name Coin,Short Name Coin,Coin`s link,Rank,Price,Min Price 24h,Max Price 24h,Volume 24h,Caritalization
Bitcoin,BTC,https://coinmarketcap.com/currencies/bitcoin/,1,"54,318.37 $","52,712.85 $","56,327.97 $","60,354,218,224 $","1,015,106,789,856 $"
Ethereum,ETH,https://coinmarketcap.com/currencies/ethereum/,2,"2,464.31 $","2,238.37 $","2,495.23 $","43,490,550,320 $","284,799,760,256 $"
Binance Coin,BNB,https://coinmarketcap.com/currencies/binance-coin/,3,556.80 $,533.21 $,607.17 $,"8,001,468,833 $","85,430,964,680 $"
XRP,XRP,https://coinmarketcap.com/currencies/xrp/,4,1.32 $,1.27 $,1.43 $,"12,357,107,726 $","59,785,851,666 $"
Tether,USDT,https://coinmarketcap.com/currencies/tether/,5,1.00 $,0.9998 $,1.00 $,"136,973,652,408 $","49,327,273,832 $"
Cardano,ADA,https://coinmarketcap.com/currencies/cardano/,6,1.22 $,1.18 $,1.28 $,"4,104,484,217 $","38,922,053,403 $"
Dogecoin,DOGE,https://coinmarketcap.com/currencies/dogecoin/,7,0.2814 $,0.2714 $,0.3327 $,"10,577,252,959 $","36,383,069,407 $"
Polkadot,DOT,https://coinmarketcap.com/currencies/polkadot-new/,8,34.56 $,32.89 $,36.26 $,"3,210,599,673 $","32,207,321,588 $"
Uniswap,UNI,https://coinmarketcap.com/currencies/uniswap/,9,36.38 $,30.56 $,37.24 $,"36,383,493,925 $","19,042,591,696 $"
Litecoin,LTC,https://coinmarketcap.com/currencies/litecoin/,10,263.09 $,251.68 $,276.31 $,"7,578,186,158 $","17,561,981,166 $"
Bitcoin Cash,BCH,https://coinmarketcap.com/currencies/bitcoin-cash/,11,924.94 $,888.77 $,986.48 $,"6,082,152,189 $","17,310,563,960 $"
Chainlink,LINK,https://coinmarketcap.com/currencies/chainlink/,12,36.88 $,35.62 $,39.15 $,"2,166,876,369 $","15,454,706,853 $"
VeChain,VET,https://coinmarketcap.com/currencies/vechain/,13,0.2233 $,0.2162 $,0.2454 $,"2,727,587,653 $","14,359,466,663 $"
USD Coin,USDC,https://coinmarketcap.com/currencies/usd-coin/,14,1.00 $,0.9998 $,1.00 $,"2,576,774,572 $","11,307,592,806 $"
Stellar,XLM,https://coinmarketcap.com/currencies/stellar/,15,0.4867 $,0.4781 $,0.5163 $,"1,441,064,731 $","11,154,779,091 $"
THETA,THETA,https://coinmarketcap.com/currencies/theta/,16,11.06 $,10.79 $,11.94 $,"436,066,908 $","11,060,242,779 $"
Filecoin,FIL,https://coinmarketcap.com/currencies/filecoin/,17,148.79 $,146.05 $,158.17 $,"1,698,598,578 $","10,066,944,589 $"
Solana,SOL,https://coinmarketcap.com/currencies/solana/,18,36.63 $,30.17 $,37.87 $,"1,004,525,121 $","9,890,199,774 $"
TRON,TRX,https://coinmarketcap.com/currencies/tron/,19,0.1226 $,0.1193 $,0.1333 $,"3,084,910,917 $","8,784,712,980 $"
Wrapped Bitcoin,WBTC,https://coinmarketcap.com/currencies/wrapped-bitcoin/,20,"54,400.47 $","52,892.79 $","56,431.10 $","268,878,437 $","8,396,006,768 $"
Monero,XMR,https://coinmarketcap.com/currencies/monero/,21,382.46 $,368.68 $,416.44 $,"1,148,697,928 $","6,843,088,107 $"
Neo,NEO,https://coinmarketcap.com/currencies/neo/,22,96.29 $,92.53 $,106.11 $,"2,154,572,065 $","6,792,130,408 $"
EOS,EOS,https://coinmarketcap.com/currencies/eos/,23,6.39 $,6.17 $,6.78 $,"3,289,938,081 $","6,090,228,648 $"
Klaytn,KLAY,https://coinmarketcap.com/currencies/klaytn/,24,2.42 $,2.35 $,2.53 $,"78,814,231 $","5,957,147,896 $"
IOTA,MIOTA,https://coinmarketcap.com/currencies/iota/,25,2.09 $,2.00 $,2.29 $,"265,008,867 $","5,814,271,432 $"
Bitcoin SV,BSV,https://coinmarketcap.com/currencies/bitcoin-sv/,26,300.27 $,290.91 $,319.57 $,"1,706,514,206 $","5,618,733,224 $"
Binance USD,BUSD,https://coinmarketcap.com/currencies/binance-usd/,27,0.9999 $,0.9998 $,1.00 $,"8,321,754,428 $","5,402,473,175 $"
Terra,LUNA,https://coinmarketcap.com/currencies/terra-luna/,28,13.87 $,12.98 $,14.43 $,"474,714,557 $","5,235,761,947 $"
BitTorrent,BTT,https://coinmarketcap.com/currencies/bittorrent/,29,0.007504 $,0.007313 $,0.007943 $,"805,332,575 $","4,952,152,408 $"
Maker,MKR,https://coinmarketcap.com/currencies/maker/,30,"4,927.51 $","3,376.40 $","4,943.66 $","4,954,993,449 $","4,904,051,730 $"
FTX Token,FTT,https://coinmarketcap.com/currencies/ftx-token/,31,51.72 $,49.84 $,53.58 $,"241,254,406 $","4,879,267,228 $"
Crypto.com Coin,CRO,https://coinmarketcap.com/currencies/crypto-com-coin/,32,0.1882 $,0.1842 $,0.202 $,"102,214,711 $","4,754,477,868 $"
Aave,AAVE,https://coinmarketcap.com/currencies/aave/,33,378.96 $,344.40 $,385.51 $,"6,063,286,572 $","4,732,475,492 $"
PancakeSwap,CAKE,https://coinmarketcap.com/currencies/pancakeswap/,34,26.96 $,25.40 $,29.23 $,"4,233,486,424 $","4,233,486,424 $"
Cosmos,ATOM,https://coinmarketcap.com/currencies/cosmos/,35,19.91 $,19.05 $,21.31 $,"724,561,951 $","4,195,526,656 $"
Tezos,XTZ,https://coinmarketcap.com/currencies/tezos/,36,5.37 $,5.20 $,5.83 $,"410,136,119 $","4,117,963,278 $"
Ethereum Classic,ETC,https://coinmarketcap.com/currencies/ethereum-classic/,37,34.55 $,31.63 $,36.09 $,"2,814,726,575 $","4,018,510,288 $"
Algorand,ALGO,https://coinmarketcap.com/currencies/algorand/,38,1.27 $,1.19 $,1.34 $,"515,511,675 $","3,662,609,592 $"
Huobi Token,HT,https://coinmarketcap.com/currencies/huobi-token/,39,20.32 $,19.33 $,21.69 $,"1,127,954,182 $","3,618,465,185 $"
Dai,DAI,https://coinmarketcap.com/currencies/multi-collateral-dai/,40,0.9997 $,0.9974 $,1.00 $,"602,311,090 $","3,600,887,823 $"
Avalanche,AVAX,https://coinmarketcap.com/currencies/avalanche/,41,26.29 $,25.14 $,28.40 $,"261,758,928 $","3,381,420,247 $"
NEM,XEM,https://coinmarketcap.com/currencies/nem/,42,0.3524 $,0.3436 $,0.3807 $,"199,942,441 $","3,171,765,174 $"
Elrond,EGLD,https://coinmarketcap.com/currencies/elrond-egld/,43,182.41 $,175.36 $,195.94 $,"226,676,852 $","3,161,408,878 $"
THORChain,RUNE,https://coinmarketcap.com/currencies/thorchain/,44,13.45 $,12.70 $,14.33 $,"6,727,151,030 $","3,122,713,585 $"
Dash,DASH,https://coinmarketcap.com/currencies/dash/,45,301.42 $,289.05 $,324.34 $,"1,482,564,072 $","3,041,222,769 $"
Kusama,KSM,https://coinmarketcap.com/currencies/kusama/,46,352.04 $,339.05 $,379.56 $,"231,023,790 $","2,981,774,981 $"
Bitcoin BEP2,BTCB,https://coinmarketcap.com/currencies/bitcoin-bep2/,47,"54,527.39 $","52,679.16 $","56,577.55 $","418,113,337 $","2,977,087,918 $"
Chiliz,CHZ,https://coinmarketcap.com/currencies/chiliz/,48,0.5137 $,0.4992 $,0.5821 $,"1,329,619,117 $","2,869,511,516 $"
Zcash,ZEC,https://coinmarketcap.com/currencies/zcash/,49,241.26 $,231.99 $,255.00 $,"804,873,327 $","2,800,538,388 $"
Compound,COMP,https://coinmarketcap.com/currencies/compound/,50,541.07 $,446.08 $,547.66 $,"5,410,656,693 $","2,746,340,439 $"
Decred,DCR,https://coinmarketcap.com/currencies/decred/,51,208.17 $,202.36 $,215.34 $,"28,342,380 $","2,674,219,794 $"
Stacks,STX,https://coinmarketcap.com/currencies/stacks/,52,2.35 $,2.17 $,2.41 $,"48,958,974 $","2,620,079,059 $"
Holo,HOT,https://coinmarketcap.com/currencies/holo/,53,0.01502 $,0.01456 $,0.01643 $,"301,214,916 $","2,540,096,654 $"
Hedera Hashgraph,HBAR,https://coinmarketcap.com/currencies/hedera-hashgraph/,54,0.2944 $,0.2804 $,0.3157 $,"379,308,767 $","2,330,751,013 $"
DigiByte,DGB,https://coinmarketcap.com/currencies/digibyte/,55,0.1626 $,0.1235 $,0.1699 $,"728,454,252 $","2,316,096,855 $"
UNUS SED LEO,LEO,https://coinmarketcap.com/currencies/unus-sed-leo/,56,2.19 $,2.15 $,2.20 $,"2,804,911 $","2,184,870,432 $"
Decentraland,MANA,https://coinmarketcap.com/currencies/decentraland/,57,1.34 $,1.28 $,1.43 $,"340,579,198 $","2,117,949,369 $"
Polygon,MATIC,https://coinmarketcap.com/currencies/polygon/,58,0.4094 $,0.3285 $,0.4134 $,"4,093,573,828 $","2,123,904,986 $"
Enjin Coin,ENJ,https://coinmarketcap.com/currencies/enjin-coin/,59,2.49 $,2.39 $,2.80 $,"416,766,863 $","2,080,037,021 $"
Nexo,NEXO,https://coinmarketcap.com/currencies/nexo/,60,3.69 $,3.50 $,3.80 $,"16,116,144 $","2,065,584,677 $"
Zilliqa,ZIL,https://coinmarketcap.com/currencies/zilliqa/,61,0.1771 $,0.1708 $,0.1918 $,"179,888,367 $","1,983,586,020 $"
Siacoin,SC,https://coinmarketcap.com/currencies/siacoin/,62,0.04104 $,0.03925 $,0.04779 $,"478,757,784 $","1,952,169,612 $"
The Graph,GRT,https://coinmarketcap.com/currencies/the-graph/,63,1.53 $,1.47 $,1.66 $,"266,095,979 $","1,907,909,792 $"
Synthetix,SNX,https://coinmarketcap.com/currencies/synthetix-network-token/,64,16.32 $,15.54 $,17.10 $,"3,466,386,139 $","1,874,010,700 $"
TerraUSD,UST,https://coinmarketcap.com/currencies/terrausd/,66,1.00 $,0.9956 $,1.01 $,"48,781,069 $","1,841,645,536 $"
Basic Attention Token,BAT,https://coinmarketcap.com/currencies/basic-attention-token/,65,1.23 $,1.20 $,1.32 $,"687,679,819 $","1,843,332,945 $"
NEAR Protocol,NEAR,https://coinmarketcap.com/currencies/near-protocol/,67,4.88 $,4.65 $,5.05 $,"81,092,954 $","1,739,215,611 $"
yearn.finance,YFI,https://coinmarketcap.com/currencies/yearn-finance/,68,"47,368.59 $","44,817.79 $","50,483.13 $","1,736,816,884 $","1,735,345,646 $"
SushiSwap,SUSHI,https://coinmarketcap.com/currencies/sushiswap/,69,13.01 $,11.84 $,13.49 $,"3,252,262,766 $","1,655,329,457 $"
UMA,UMA,https://coinmarketcap.com/currencies/uma/,70,25.84 $,24.72 $,27.38 $,"2,614,713,663 $","1,552,678,677 $"
Qtum,QTUM,https://coinmarketcap.com/currencies/qtum/,71,15.50 $,14.79 $,17.01 $,"820,501,288 $","1,523,336,685 $"
Ontology,ONT,https://coinmarketcap.com/currencies/ontology/,72,1.88 $,1.82 $,2.09 $,"637,076,665 $","1,519,756,152 $"
Celsius,CEL,https://coinmarketcap.com/currencies/celsius/,73,6.32 $,5.96 $,6.38 $,"9,928,547 $","1,509,854,674 $"
Theta Fuel,TFUEL,https://coinmarketcap.com/currencies/theta-fuel/,74,0.2848 $,0.271 $,0.3173 $,"46,848,561 $","1,501,015,236 $"
Ravencoin,RVN,https://coinmarketcap.com/currencies/ravencoin/,75,0.1746 $,0.1687 $,0.1883 $,"150,511,031 $","1,502,929,502 $"
Bitcoin Gold,BTG,https://coinmarketcap.com/currencies/bitcoin-gold/,76,84.90 $,82.98 $,94.41 $,"53,693,348 $","1,486,962,962 $"
Waves,WAVES,https://coinmarketcap.com/currencies/waves/,77,14.12 $,13.78 $,15.98 $,"316,761,871 $","1,481,044,047 $"
Reserve Rights,RSR,https://coinmarketcap.com/currencies/reserve-rights/,78,0.09784 $,0.08429 $,0.1043 $,"241,109,423 $","1,287,611,814 $"
ICON,ICX,https://coinmarketcap.com/currencies/icon/,79,2.13 $,2.06 $,2.34 $,"99,955,880 $","1,276,970,234 $"
0x,ZRX,https://coinmarketcap.com/currencies/0x/,80,1.62 $,1.59 $,1.80 $,"200,288,191 $","1,264,229,534 $"
Horizen,ZEN,https://coinmarketcap.com/currencies/horizen/,81,113.42 $,106.20 $,125.70 $,"213,528,132 $","1,247,713,538 $"
Bancor,BNT,https://coinmarketcap.com/currencies/bancor/,82,6.73 $,6.49 $,6.98 $,"1,199,761,866 $","1,199,761,866 $"
SwissBorg,CHSB,https://coinmarketcap.com/currencies/swissborg/,85,1.15 $,1.09 $,1.19 $,"10,793,492 $","1,154,687,294 $"
Nano,NANO,https://coinmarketcap.com/currencies/nano/,84,8.59 $,8.46 $,9.86 $,"147,495,426 $","1,144,627,923 $"
Celo,CELO,https://coinmarketcap.com/currencies/celo/,84,5.60 $,5.40 $,6.60 $,"200,050,822 $","1,147,272,296 $"
Flow,FLOW,https://coinmarketcap.com/currencies/flow/,86,33.53 $,33.07 $,35.02 $,"49,227,876 $","1,138,892,792 $"
Harmony,ONE,https://coinmarketcap.com/currencies/harmony/,87,0.1188 $,0.1103 $,0.1252 $,"103,885,535 $","1,118,192,030 $"
Revain,REV,https://coinmarketcap.com/currencies/revain/,88,0.01293 $,0.01289 $,0.013 $,"5,324,230 $","1,099,459,857 $"
OKB,OKB,https://coinmarketcap.com/currencies/okb/,89,18.00 $,16.87 $,18.78 $,"446,135,233 $","1,080,264,062 $"
OMG Network,OMG,https://coinmarketcap.com/currencies/omg/,90,7.68 $,7.41 $,8.44 $,"498,785,479 $","1,077,670,100 $"
KuCoin Token,KCS,https://coinmarketcap.com/currencies/kucoin-token/,91,13.03 $,12.02 $,14.32 $,"69,716,211 $","1,044,177,529 $"
IOST,IOST,https://coinmarketcap.com/currencies/iostoken/,92,0.06228 $,0.0606 $,0.06793 $,"456,519,296 $","1,024,800,967 $"
Ankr,ANKR,https://coinmarketcap.com/currencies/ankr/,93,0.1459 $,0.1428 $,0.1594 $,"1,458,634,476 $","1,020,494,623 $"
Verge,XVG,https://coinmarketcap.com/currencies/verge/,94,0.06016 $,0.05405 $,0.06686 $,"185,753,122 $","989,483,531 $"
Helium,HNT,https://coinmarketcap.com/currencies/helium/,94,12.67 $,11.76 $,13.51 $,"23,641,439 $","1,008,968,318 $"
Fantom,FTM,https://coinmarketcap.com/currencies/fantom/,96,0.3787 $,0.361 $,0.4037 $,"1,202,412,406 $","963,825,863 $"
BTMX,BTMX,https://coinmarketcap.com/currencies/bitmax-token/,97,1.24 $,1.14 $,1.27 $,"10,225,493 $","927,985,393 $"
Paxos Standard,PAX,https://coinmarketcap.com/currencies/paxos-standard/,98,0.9992 $,0.9989 $,1.00 $,"91,773,856 $","878,109,019 $"
Ren,REN,https://coinmarketcap.com/currencies/ren/,99,0.855 $,0.8241 $,0.9148 $,"112,292,621 $","852,541,895 $"
Conflux Network,CFX,https://coinmarketcap.com/currencies/conflux-network/,100,0.9789 $,0.9082 $,1.03 $,"16,277,741 $","806,965,063 $"
